Registered Corporations,Scope 1,Scope 2,Scope 1+2,Energy Consumed
NORSKE SKOG INDUSTRIES AUSTRALIA LIMITED,"258,798","822,655","1,081,454","8,596,246"
Northgate Australian Ventures Corporation Pty Ltd,"30,641","196,669","227,310","1,076,007"
Norton Gold Fields Limited,"37,634","74,240","111,874","887,880"
NRG Victoria 1 Pty Ltd,"6,966,866","51,155","7,018,021","78,521,484"
Nufarm Ltd,"12,705","55,241","67,946","395,151"
Nyrstar Australia Pty Ltd,"367,616","538,382","905,998","10,256,681"
Olam Investments Australia Pty Limited,520,"50,852","51,372","390,129"
Olex Australia Pty Limited,"9,641","42,844","52,486","320,621"
OneSteel Limited,"2,839,629","1,274,472","4,114,101","70,880,267"
Orica Limited,"1,509,400","383,831","1,893,231","10,772,313"
Origin Energy Limited,"2,598,626","47,460","2,646,086","196,518,142"
Owens-Illinois (Australia) Pty Ltd,"441,503","281,611","723,114","7,651,549"
OZ Minerals Limited,"156,986","187,928","344,913","3,255,551"
OzGen Holdings Australia Pty Ltd,"9,152,933","35,799","9,188,732","103,644,184"
Panoramic Resources Limited,"47,915","11,887","59,802","919,282"
Paper Australia Pty Ltd,"399,746","281,245","680,991","18,137,625"
Parmalat Australia Pty Ltd,"23,870","87,517","111,387","756,258"
Peabody (Burton Coal) Pty Ltd,"209,290","18,219","227,509","2,601,151"
Peabody Acquisition Co. No. 2 Pty Ltd,"417,872","49,230","467,102","4,163,026"
Peabody Energy Australia Pty Ltd,"2,620,651","207,282","2,827,932","5,751,672"
Peak Gold Asia Pacific Pty Ltd,"11,567","66,955","78,522","432,157"
Pechiney Consolidated Australia Pty Limited,"1,011,522","7,114,504","8,126,027","38,842,449"
Peerless Holdings Pty Limited,"24,269","28,128","52,398","555,665"
Penrice Soda Holdings Limited,"126,672","209,135","335,807","4,094,247"
PEPSCA Pty Ltd,"45,520","163,811","209,330","1,371,067"
Perilya Limited,"17,351","136,621","153,972","802,462"
PFD Food Services Pty Ltd,"25,733","36,569","62,301","503,830"
PMP Limited,"19,248","88,440","107,688","673,774"
Port Waratah Coal Services Limited,876,"129,464","130,340","535,536"
Positive Investments Pty. Ltd.,"4,365","61,866","66,231","306,724"
Power and Water Corporation,"1,056,233","108,834","1,165,067","20,884,975"
Pratt Consolidated Holdings Pty. Ltd.,"375,208","1,076,066","1,451,275","21,916,500"
Prosafe Production Services (Australia) Pty Ltd,"347,252",0,"347,252","5,564,123"
Public Transport Authority of Western Australia,"8,551","100,985","109,537","577,647"
QANTAS AIRWAYS LIMITED,"4,452,612","216,478","4,669,090","64,924,049"
Qenos Holdings Pty Ltd,"816,810","351,838","1,168,648","37,293,783"
QIC Limited,"3,860","104,195","108,055","452,486"
QNI Resources Pty. Ltd.,"1,483,545","52,382","1,535,927","21,852,822"
QR National Limited,"676,769","455,920","1,132,688","11,610,815"
Qube Logistics Holdings Limited,"128,303","12,097","140,400","1,895,762"
QUEENSLAND ALUMINA LIMITED,"3,126,574","689,580","3,816,155","44,082,134"
Queensland Electricity Transmission Corporation Limited,"9,385","1,543,746","1,553,131","6,369,463"
Queensland Nitrates Pty Ltd,"398,046","59,792","457,838","3,143,140"
QUEENSLAND RAIL LIMITED,"41,812","226,019","267,831","1,528,067"
R.G. Withers Nominess Pty Ltd as trustee for R.G. Withers Unit Trust,593,"128,583","129,176","464,575"
Rail Corporation New South Wales,"71,802","662,481","734,282","3,716,002"
Ramsay Health Care Limited,"13,972","151,395","165,367","863,279"
Rata International Pty Ltd,"11,338","65,508","76,846","409,576"
Redbank Energy Limited,"1,095,354","1,921","1,097,274","12,650,175"
Regional Express Holdings Ltd,"107,503","1,586","109,089","1,551,575"
Regional Power Corporation,"36,370","34,110","70,481","894,503"
Regis Resources Limited,"59,232",0,"59,232","851,399"
Resolute Mining Limited,"17,707","63,943","81,650","522,897"
Ricegrowers Limited,"9,936","90,854","100,791","534,495"
Ridley Corporation Limited,"23,648","50,003","73,651","759,731"
Rio Doce Australia Pty Limited,"1,487,605","106,009","1,593,613","3,335,946"
Rio Tinto Limited,"8,673,986","9,974,965","18,648,951","148,465,993"
Ritchies Stores Pty Ltd,"17,779","75,664","93,442","271,302"
Ron Finemore Transport Pty Limited,"56,304",460,"56,765","876,691"
Royal Melbourne Institute of Technology,"7,175","73,153","80,327","355,776"
SA Power Networks,"11,968","529,345","541,312","2,954,043"
Salvage Pty Ltd,"10,142","228,708","238,851","982,958"
Santos LTD,"3,692,737","37,101","3,729,837","200,978,291"
Saracen Mineral Holdings,"81,754",65,"81,819","1,380,712"
Scott's Refrigerated Freightways Pty Ltd,"66,489","7,607","74,096","979,159"
SCOTTS TRANSPORT INDUSTRIES PTY LTD,"65,068","1,625","66,693","937,907"
Sealed Air Australia (Holdings) Pty Limited,"4,058","66,642","70,699","280,766"
SeaRoad Holdings Pty Ltd,"51,331","1,428","52,759","720,880"
Sembsita Australia Pty. Limited,"571,768","35,336","607,104","1,209,571"
Shell Australia Limited,"1,442,752","486,971","1,929,723","385,156,314"
Sibelco Asia Pacific Pty Ltd,"666,805","268,642","935,447","5,356,486"
Silicon Metal Company of Australia Pty Ltd,"40,639","304,063","344,702","4,087,569"
SILK LOGISTICS GROUP HOLDINGS PTY LIMITED,"82,734","5,858","88,592","1,207,790"
Simplot Australia (Holdings) Pty Limited,"77,137","79,366","156,503","1,437,029"
Sims Metal Management Limited,"34,719","35,754","70,473","657,694"
Singapore Telecom Australia Investments Pty Limited,"2,531","329,061","331,593","1,295,735"
Snowy Hydro Limited,"18,622","187,386","206,008","12,600,556"
Sojitz Coal Resources Pty Limited,"119,179",25,"119,204","1,059,801"
Sonic Healthcare Limited,"8,114","54,683","62,797","348,238"
Sonoma Mine Management Pty Ltd,"178,961","28,022","206,983","1,440,441"
South Australian Water Corporation,"65,998","203,199","269,197","1,554,763"
Southern Cross Airports Corporation Holdings Limited,"6,080","85,307","91,387","451,214"
Southern Health,"11,202","72,149","83,351","471,752"
SP Australia Networks (Transmission) Ltd,"39,419","1,623,542","1,662,961","4,853,590"
SPI (Australia) Assets Pty Ltd,"522,296","270,560","792,856","3,337,884"
SPI Electricity & Gas Australia Holdings Pty Ltd,"157,518","645,321","802,838","2,150,174"
Spotless Group Limited,"44,775","49,217","93,992","1,003,747"
St Barbara Limited,"89,381","59,940","149,321","2,069,080"
St John of God Health Care Inc,"13,683","51,440","65,123","444,779"
ST VINCENT'S HEALTH AUSTRALIA LTD,"10,895","115,026","125,921","675,349"
Stanwell Corporation Limited,"17,123,484","81,513","17,204,997","216,547,795"
State Transit Authority of NSW,"153,995","10,461","164,456","2,480,777"
Stockland Corporation Ltd,"26,241","121,002","147,243","846,203"
Straits Resources Limited,"13,620","57,767","71,387","428,513"
Sumitomo Forestry Australia Pty Ltd,"3,735","49,897","53,632","488,421"
Sun Metals Holdings Limited,"20,442","752,428","772,870","3,153,273"
Suncorp Group Limited,"6,832","58,667","65,499","333,657"
SunWater,"2,705","117,647","120,352","537,309"
Super Retail Group Limited,"1,061","73,457","74,518","299,033"
Surfside Buslines Pty. Ltd,"49,357",946,"50,302","715,242"
SYDNEY WATER CORPORATION,"61,565","315,102","376,666","2,524,775"
T&R Consolidated Pty Ltd,"27,389","38,067","65,456","620,123"
Teekay Holdings Australia Pty Ltd,"62,047",240,"62,287","852,955"
Telstra Corporation Limited,"53,789","1,350,376","1,404,166","6,000,974"
Teys Australia Pty Ltd,"128,658","122,289","250,947","1,544,742"
THAKRAL HOLDINGS LIMITED,"3,555","49,744","53,300","264,175"
Thales Australia Holdings Pty Ltd,"32,632","53,200","85,832","489,352"
The Maddingley Mine Trust,"70,498",477,"70,975","24,971"
The Trustee for Costa’s Unit Trust,"42,439","63,899","106,339","752,459"
The Uniting Church in Australia Property Trust (N.S.W.),"7,944","54,077","62,020","354,753"
The Uniting Church in Australia Property Trust (Q.),"15,767","83,766","99,533","591,566"
The University of Queensland,"2,776","131,188","133,963","578,655"
The University of Sydney,"4,788","84,319","89,107","430,578"
THORNBERRY HOLDINGS PTY LIMITED,"77,966","2,152","80,118","1,154,322"
Tiger Airways Australia Pty Limited,"122,190",0,"122,190","1,755,366"
TNT Australia Pty Limited,"33,988","16,541","50,528","557,053"
Toga PTY LTD,"4,503","60,216","64,718","321,066"
Toll Holdings Limited,"594,015","94,186","688,201","8,908,296"
Toyota Motor Corporation Australia Ltd.,"34,728","112,343","147,070","984,088"
TransAlta Energy (Australia) Pty Ltd,"695,901","2,945","698,845","13,414,418"
Transend Networks Pty Ltd,457,"77,729","78,186","939,808"
Transfield Services Limited,"53,567","43,458","97,025","968,635"
Transfield Worley Power Services Pty Ltd,"2,758,193","4,207","2,762,400","30,447,573"
TransGrid,"17,563","961,814","979,377","3,976,578"
Transit Systems Pty Ltd,"65,848","2,912","68,760","1,298,894"
Transpacific Industries Group Ltd,"931,637","47,430","979,067","10,006,863"
Treasury Wine Estates Limited,"10,615","50,989","61,603","349,851"
